GVW_GEV,GVW_gumbel,GVW_weibull
1408.1308848168828,1260.924158611127,1144.7252149773403
1348.8853607632254,1244.366039066983,1067.5641395935804
1025.9425542433216,1224.887986447874,1053.3841779598627
1082.1232637592846,1229.5625024713192,1094.7472592372617
1165.9074450763542,1238.3495276306394,1125.1705016595013
1026.2615014163127,1271.3694776298253,1066.671929078573
1085.4904919558458,1215.7554533748628,1065.9851219595857
1383.9667021180323,1268.064174053157,1130.2394453640022
1212.1710642840449,1247.440599302388,1095.7702521280823
1335.9524180361116,1236.1368275911304,1063.540261240499
1382.2640139469295,1264.7473515250824,1088.785162961262
1323.0681821132948,1213.9909097061952,1068.177523412969
1357.5665503837663,1231.916887887615,1109.7775011755775
1399.3820199106758,1285.4797279349816,1104.1130717303258
1348.9972304826213,1234.6462354383568,1085.391538978817
1409.8016784929086,1242.0913042677128,1158.6965315630162
1348.0530777542838,1242.5180426294226,1071.177297420162
1409.0493199572368,1252.060666721476,1112.0452668276546
1038.3985103963007,1273.3236173771345,1094.0365224104944
1355.562615556809,1243.1677802070292,1061.8804547886045
